               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12983,            0.022093,                   0,           0.0027155,             0.66667,           0.0055233,           0.0012476,             0.13165,            0.017119,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.13043,            0.020986,                   0,           0.0029575,             0.77778,            0.007779,           0.0015281,             0.12827,            0.016985,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.11701,            0.021144,                   0,           0.0029167,             0.77778,           0.0084952,           0.0015169,             0.11989,            0.016841,                   0,            0.092784,          0.00078416,          0.00078416
                   3,            0.095452,            0.020639,                   0,            0.003125,             0.83333,           0.0073082,           0.0013916,             0.11304,            0.016802,                   0,            0.090067,           0.0010673,           0.0010673
                   4,             0.11595,            0.021812,                   0,           0.0033333,             0.88889,           0.0089644,           0.0018153,            0.095893,            0.016815,                   0,            0.087345,           0.0013446,           0.0013446
                   5,            0.093619,             0.02146,                   0,           0.0033333,             0.88889,            0.024094,           0.0056731,            0.087944,            0.016746,                   0,            0.084616,           0.0016158,           0.0016158
                   6,            0.096804,            0.021971,                   0,            0.010168,             0.66667,            0.042587,            0.014842,            0.081038,            0.016348,                   0,            0.081881,           0.0018812,           0.0018812
                   7,            0.090347,             0.02525,                   0,           0.0092257,             0.66667,             0.03745,            0.013393,            0.079351,            0.016204,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.088896,            0.019898,                   0,           0.0035417,             0.94444,            0.040454,            0.010824,            0.078349,            0.015751,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.074196,            0.023825,                   0,           0.0046463,             0.94444,            0.061636,            0.016288,            0.073391,            0.015504,                   0,            0.073642,           0.0026416,           0.0026416
                  10,             0.06616,            0.023369,                   0,            0.078682,                 0.5,             0.18818,             0.06465,             0.06999,             0.01499,                   0,            0.070883,           0.0028832,           0.0028832
                  11,            0.078991,            0.022752,                   0,             0.46284,             0.16667,             0.23563,            0.078891,            0.068205,            0.014981,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.073678,            0.025721,                   0,             0.40631,             0.41898,             0.31076,             0.11608,            0.063051,            0.014826,                   0,            0.065349,           0.0033486,           0.0033486
                  13,            0.074074,            0.022976,                   0,             0.63193,             0.38212,             0.37498,             0.18094,            0.060762,              0.0146,                   0,            0.062572,           0.0035723,           0.0035723
                  14,            0.060414,             0.01819,                   0,              0.8868,             0.33333,             0.45638,             0.16508,            0.058646,            0.014658,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.063531,            0.019622,                   0,             0.82131,             0.38889,             0.47557,             0.18623,            0.061171,            0.014435,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.049236,             0.01716,                   0,             0.72125,             0.44444,             0.54529,             0.25002,             0.07898,            0.015041,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.070899,            0.019108,                   0,             0.94792,             0.44444,             0.51976,             0.24477,             0.06456,             0.01513,                   0,            0.051408,            0.004408,            0.004408
                  18,            0.065045,            0.024958,                   0,              0.8085,             0.44444,             0.55453,             0.24928,            0.050956,            0.015357,                   0,            0.048602,           0.0046021,           0.0046021
                  19,            0.064391,             0.01991,                   0,             0.60669,             0.44444,             0.51037,             0.27214,              0.0521,            0.015294,                   0,             0.04579,           0.0047902,           0.0047902
                  20,            0.049728,            0.017227,                   0,             0.68159,             0.47678,             0.50597,             0.24759,            0.055007,            0.014765,                   0,            0.042972,           0.0049724,           0.0049724
                  21,            0.049324,            0.017562,                   0,              0.4455,             0.27778,             0.30428,            0.090967,            0.063271,            0.014635,                   0,            0.040149,           0.0051487,           0.0051487
                  22,            0.060319,            0.012003,                   0,             0.72678,             0.44444,             0.48198,              0.1897,             0.06148,            0.014319,                   0,            0.037319,            0.005319,            0.005319
                  23,            0.064411,            0.016477,                   0,             0.34881,             0.41726,             0.32899,             0.11261,            0.063881,            0.013616,                   0,            0.034483,           0.0054833,           0.0054833
                  24,             0.06872,            0.017938,                   0,             0.48735,                 0.5,             0.42127,             0.19278,            0.059629,            0.012989,                   0,            0.031642,           0.0056418,           0.0056418
                  25,            0.055002,            0.016058,                   0,             0.66977,             0.55556,             0.58789,             0.28477,            0.048731,            0.013001,                   0,            0.028794,           0.0057942,           0.0057942
                  26,            0.054016,            0.017477,                   0,             0.77992,             0.55556,             0.66855,             0.31958,            0.051564,            0.012173,                   0,            0.025941,           0.0059408,           0.0059408
                  27,            0.047947,            0.017495,                   0,             0.73168,                 0.5,             0.64913,             0.34935,            0.053286,            0.011021,                   0,            0.023081,           0.0060814,           0.0060814
                  28,            0.055497,            0.013429,                   0,             0.73168,                 0.5,             0.64913,             0.34935,            0.053286,            0.011021,                   0,            0.020216,           0.0062161,           0.0062161
                  29,            0.048911,            0.016483,                   0,               0.425,                 0.5,             0.45551,             0.19302,            0.054408,            0.010296,                   0,            0.017345,           0.0063448,           0.0063448
                  30,            0.052717,            0.016762,                   0,             0.88115,              0.4135,             0.59551,             0.22145,            0.047777,            0.010612,                   0,            0.014468,           0.0064676,           0.0064676
                  31,            0.054782,            0.016556,                   0,             0.39078,             0.55556,             0.41325,             0.15706,            0.051371,            0.010118,                   0,            0.011584,           0.0065844,           0.0065844
                  32,            0.047721,            0.019001,                   0,             0.39078,             0.55556,             0.41325,             0.15706,            0.051371,            0.010118,                   0,           0.0086954,           0.0066954,           0.0066954
                  33,            0.057137,             0.01586,                   0,             0.47782,             0.61111,             0.52394,             0.22647,            0.049524,           0.0098291,                   0,            0.006733,            0.006733,            0.006733
                  34,            0.049754,            0.017289,                   0,             0.72842,             0.44724,             0.61958,             0.28206,            0.042677,           0.0098651,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.048065,            0.014296,                   0,             0.42453,             0.66667,             0.50612,             0.21752,            0.046047,           0.0094604,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.042205,            0.014106,                   0,             0.42453,             0.66667,             0.50612,             0.21752,            0.046047,           0.0094604,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.046903,            0.021954,                   0,              0.5337,             0.72222,             0.53949,             0.21289,            0.046215,           0.0096094,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.046497,            0.019344,                   0,             0.75178,             0.72222,             0.77942,             0.34031,            0.038775,           0.0095239,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.038131,            0.017589,                   0,             0.60975,             0.66667,             0.64771,             0.25042,            0.046538,           0.0085143,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.041927,            0.017283,                   0,             0.60975,             0.66667,             0.64771,             0.25042,            0.046538,           0.0085143,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.044086,             0.01612,                   0,             0.53235,             0.55556,             0.65129,             0.31222,              0.0444,           0.0082718,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.045219,            0.015672,                   0,             0.73997,             0.44444,             0.60819,             0.20761,            0.041626,           0.0081796,                   0,            0.005941,            0.005941,            0.005941
